[2025-10-19 18:31:34,439: INFO: main: Welcom to our custom log]
[2025-10-19 18:42:28,487: INFO: main: Welcom to our custom log]
[2025-10-19 20:13:13,002: INFO: main: Welcom to our custom log]
[2025-10-23 19:57:41,848: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-23 19:57:41,853: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-23 20:02:17,764: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-23 20:02:17,768: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-23 20:03:28,425: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-23 20:03:28,432: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-23 20:03:28,436: INFO: common: created directory at: artifacts]
[2025-10-23 20:03:28,439: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-23 20:03:28,442: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-10-23 20:11:37,755: INFO: 3172177572: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-10-23 21:27:51,715: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-10-23 21:27:51,715: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-23 21:27:51,720: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-23 21:27:51,720: INFO: common: created directory at: artifacts]
[2025-10-23 21:27:51,720: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-23 21:27:51,720: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-10-23 22:07:36,133: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-10-23 22:07:37,363: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
